"","HHID","region","yield"
"553",370090401,"Eastern",3636.36363636364
"554",373020401,"Eastern",125
"555",374070401,"Eastern",100
"556",377010401,"Eastern",533.333333333333
"557",377020401,"Eastern",150
"558",377030401,"Eastern",214.285717934978
"559",377040401,"Eastern",800
"560",377050401,"Eastern",1055.55555555556
"561",377060401,"Eastern",1874.99997206032
"562",377100401,"Eastern",1000
"563",379050401,"Eastern",378.181818181818
"564",379080401,"Eastern",400
"565",380080401,"Eastern",266.666666666667
"566",382020401,"Eastern",40.9090900224103
"567",382060401,"Eastern",461.538461538462
"568",382070401,"Eastern",1400
"569",382090401,"Eastern",138.888887969064
"604",407010401,"Western",599.999991059303
"605",407040401,"Western",166.666660043929
"606",407050401,"Western",999.999985098839
"607",408010401,"Western",1000
"608",408020401,"Western",112.5
"609",408060401,"Western",500
"610",408090401,"Western",1000
"611",409020401,"Western",1200
"612",409060401,"Western",160
"613",410090401,"Western",105
"614",411030401,"Western",53.5714285714286
"615",411070401,"Western",250
"616",411080401,"Western",100
"617",411090401,"Western",250
"618",412070401,"Western",571.428571428571
"619",412100401,"Western",240
"620",413010401,"Western",75
"621",413030401,"Western",99.9999985098839
"622",413040401,"Western",100
"623",413060401,"Western",625.000013969839
"624",413070401,"Western",187.499997206032
"625",415020401,"Western",100
"626",417050401,"Western",1111.11106695952
"627",417070401,"Western",510.204079460472
"628",417080401,"Western",1666.66660043929
"629",417100401,"Western",1800
"630",418010401,"Western",374.999994412065
"631",418030401,"Western",999.999985098839
"632",419010401,"Western",1688.88882177848
"633",420010401,"Western",266.666666666667
"634",420030401,"Western",45
"635",420060401,"Western",232.142857142857
"636",420070401,"Western",333.333320087857
"637",420080401,"Western",477.272726626189
"638",420090401,"Western",1000
"639",420100401,"Western",261.904761904762
"640",421010401,"Western",2800
"641",421050401,"Western",65
"642",421070401,"Western",759.999990463257
"643",421080401,"Western",1100
"644",422020401,"Western",224.999996647239
"645",422030401,"Western",400
"646",422050401,"Western",119.999998211861
"647",422060401,"Western",90
"648",423020401,"Western",312.499995343387
"649",424030401,"Western",66.6666666666667
"650",424060401,"Western",600
"651",424080401,"Western",83.3333327814385
"652",425040401,"Western",177.777777777778
"653",425050401,"Western",3000
"654",425070401,"Western",500
"655",425080401,"Western",1333.33333333333
"656",425100401,"Western",1600
"657",426040401,"Western",555.555533479762
"658",426070401,"Western",499.99999254942
"659",427050401,"Western",276
"660",427100401,"Western",640
"661",428030401,"Western",1300
"662",428050401,"Western",1428.57141911037
"663",428060401,"Western",666.666666666667
"664",428100401,"Western",85.7142857142857
"665",430010401,"Western",863.557881845637
"666",430030401,"Western",1200
"667",430040401,"Western",85.7142857142857
"668",430050401,"Western",714.285714285714
"669",430060401,"Western",200
"670",430070401,"Western",900
"671",430080401,"Western",380.952380952381
"672",430090401,"Western",287.35633010766
"673",430100401,"Western",227.272727272727
